variant,model_type,fold,n_features,logloss,brier,auc,accuracy,threshold,accuracy_at_0_5,valid_accuracy_at_threshold,params
M1plusM2plusRWTS_indices_logistic,logistic,1,4,0.6439752379189251,0.2253604213634302,0.6864197530864198,0.5714285714285714,0.5499999999999999,0.6904761904761905,0.6428571428571429,"{""model"": ""LogisticRegression"", ""C"": 0.01, ""valid_logloss"": 0.6770073083040112}"
M1plusM2plusRWTS_indices_logistic,logistic,2,4,0.6642687970634745,0.23591256941999783,0.6338672768878718,0.6190476190476191,0.44499999999999995,0.5952380952380952,0.6666666666666666,"{""model"": ""LogisticRegression"", ""C"": 0.01, ""valid_logloss"": 0.6574975803155004}"
M1plusM2plusRWTS_indices_logistic,logistic,3,4,0.6755064945074428,0.24101812194206382,0.5659090909090909,0.6190476190476191,0.5349999999999999,0.6190476190476191,0.6666666666666666,"{""model"": ""LogisticRegression"", ""C"": 0.01, ""valid_logloss"": 0.6830436684384542}"
M1plusM2plusRWTS_indices_logistic,logistic,4,4,0.6795039502230319,0.24319331285447696,0.5926773455377574,0.5952380952380952,0.49999999999999994,0.5952380952380952,0.5952380952380952,"{""model"": ""LogisticRegression"", ""C"": 0.003, ""valid_logloss"": 0.6915988447261414}"
