variant,fold,row_index,match_id,Date,y_true,idx_early_lane,idx_objective_control,idx_fight_control,idx_resource_control
M1plusM2plusRWTS_indices_logistic,1,145,2024-07-08__EDG__WE__G1,2024-07-08,0,-1.5952593533090393,0.24556038765010746,-0.6168509262302359,-2.9460765243485754
M1plusM2plusRWTS_indices_logistic,1,146,2024-07-08__EDG__WE__G2,2024-07-08,1,0.7239037949200612,0.31131087941196334,-1.2412533343398866,2.6879477511359675
M1plusM2plusRWTS_indices_logistic,1,147,2024-07-09__FPX__JDG__G1,2024-07-09,1,0.22574556851210348,2.193356622119245,-0.46740099447107825,1.1495044820645761
M1plusM2plusRWTS_indices_logistic,1,148,2024-07-09__FPX__JDG__G2,2024-07-09,1,-0.5251124032545009,1.1491949991500006,0.05897902737198343,-0.5105085364063839
M1plusM2plusRWTS_indices_logistic,1,149,2024-07-09__FPX__JDG__G3,2024-07-09,1,0.0925871538244947,2.1481781535226974,-0.27328001571636146,1.7352549613324555
M1plusM2plusRWTS_indices_logistic,1,150,2024-07-09__OMG__RNG__G1,2024-07-09,1,-0.35539630304054026,-0.8691297895860208,0.44260383096778844,0.4790994998227372
M1plusM2plusRWTS_indices_logistic,1,151,2024-07-09__OMG__RNG__G2,2024-07-09,0,-0.6703943492098154,0.04700722226573013,-1.8040842799917893,-1.0132067732066432
M1plusM2plusRWTS_indices_logistic,1,152,2024-07-10__LNG__WBG__G1,2024-07-10,1,0.30803668576883037,1.9343112082217013,-1.2369008936243147,1.0171573471480815
M1plusM2plusRWTS_indices_logistic,1,153,2024-07-10__LNG__WBG__G2,2024-07-10,1,-0.5577600250020796,1.6399234701334466,-0.29835292587276124,-0.26497457803608276
M1plusM2plusRWTS_indices_logistic,1,154,2024-07-10__LNG__WBG__G3,2024-07-10,1,-0.21261725604468426,1.5741703884191691,-1.1822690169968324,1.3670885324011872
M1plusM2plusRWTS_indices_logistic,1,155,2024-07-10__TT__iG__G1,2024-07-10,1,-0.43244785632630156,0.9201073801533219,-0.5493255899045021,0.8879957955984326
M1plusM2plusRWTS_indices_logistic,2,156,2024-07-10__TT__iG__G2,2024-07-10,0,-1.2775521439529434,0.2529386198027521,-1.4652079472978656,-2.4532804445420133
M1plusM2plusRWTS_indices_logistic,2,157,2024-07-11__AL__NIP__G1,2024-07-11,0,0.37228042144133777,-1.0946630720065305,-1.2051058108105697,-0.932485710490393
M1plusM2plusRWTS_indices_logistic,2,158,2024-07-11__AL__NIP__G2,2024-07-11,1,-0.16837521238815528,0.8906571295506482,0.30359434655510653,0.7557481756683341
M1plusM2plusRWTS_indices_logistic,2,159,2024-07-11__RA__UP__G1,2024-07-11,1,-0.3251036325123291,0.5984682791118558,0.20189252958271578,-0.666954206721576
M1plusM2plusRWTS_indices_logistic,2,160,2024-07-11__RA__UP__G2,2024-07-11,0,-0.7180882321035629,-0.22539431333647644,-1.7662778030533708,0.20419903580731877
M1plusM2plusRWTS_indices_logistic,2,161,2024-07-12__BLG__TES__G1,2024-07-12,1,0.8161064274416042,1.0339585813157928,-0.4420276664981812,0.12892603823519388
M1plusM2plusRWTS_indices_logistic,2,162,2024-07-12__BLG__TES__G2,2024-07-12,1,0.3817959050036037,-0.40808484044173093,0.23528765573547397,-0.03377229205144995
M1plusM2plusRWTS_indices_logistic,2,163,2024-07-12__BLG__TES__G3,2024-07-12,0,0.39683905896970856,0.9050266858248033,-0.830780659921415,-0.7772889536705682
M1plusM2plusRWTS_indices_logistic,2,164,2024-07-12__EDG__OMG__G1,2024-07-12,0,-1.9558869873818197,1.2359082114856335,-0.2574568065742753,-2.281791343259681
M1plusM2plusRWTS_indices_logistic,2,165,2024-07-12__EDG__OMG__G2,2024-07-12,0,0.577806683748237,-1.7024973409895008,-1.072542221017808,1.167486982291363
M1plusM2plusRWTS_indices_logistic,2,166,2024-07-12__EDG__OMG__G3,2024-07-12,0,-1.7592094572511843,1.0017476937209282,-1.6152009632276858,-2.930986410065042
M1plusM2plusRWTS_indices_logistic,2,167,2024-07-12__JDG__LGD__G1,2024-07-12,0,-0.5675414874631525,0.42576462564189554,-0.13153777487303578,0.4258984430175883
M1plusM2plusRWTS_indices_logistic,2,168,2024-07-12__JDG__LGD__G2,2024-07-12,1,1.283143520320574,1.1015409314308648,0.3245123551019171,0.7497884112204354
M1plusM2plusRWTS_indices_logistic,2,169,2024-07-13__NIP__WBG__G1,2024-07-13,1,-0.7702161104867707,0.4152031928072711,-0.6780771092677709,-1.0421749087070689
M1plusM2plusRWTS_indices_logistic,2,170,2024-07-13__NIP__WBG__G2,2024-07-13,0,0.009179758043738162,-0.6076353758358184,-1.2901309432727317,-0.9307146142287921
M1plusM2plusRWTS_indices_logistic,2,171,2024-07-13__RA__iG__G1,2024-07-13,1,0.6929865015775855,0.03520406425714967,-1.8490013296332624,-0.4206716384154582
M1plusM2plusRWTS_indices_logistic,2,172,2024-07-13__RA__iG__G2,2024-07-13,0,-1.9866724427991131,0.2215481464171663,-1.5566273780578372,-2.183428916532846
M1plusM2plusRWTS_indices_logistic,2,173,2024-07-13__RNG__WE__G1,2024-07-13,1,0.023099258229004493,0.9916159203565806,-0.9530339286438251,0.21744598255574535
M1plusM2plusRWTS_indices_logistic,2,174,2024-07-13__RNG__WE__G2,2024-07-13,1,0.23492394333554034,0.8092177324376599,-0.8956462304667205,1.6475045311233285
M1plusM2plusRWTS_indices_logistic,2,175,2024-07-14__AL__JDG__G1,2024-07-14,0,0.4332530164850676,1.315019642602099,0.014334404882834365,0.1030283575598151
M1plusM2plusRWTS_indices_logistic,2,176,2024-07-14__AL__JDG__G2,2024-07-14,0,0.8105741910192987,0.13511454144596238,0.04076815267019914,1.442963517023111
M1plusM2plusRWTS_indices_logistic,2,177,2024-07-14__AL__JDG__G3,2024-07-14,0,0.4558962269862097,1.0337007721252547,0.024090220433902854,0.013958053573168582
M1plusM2plusRWTS_indices_logistic,2,178,2024-07-14__LNG__TES__G1,2024-07-14,1,-0.7985388578391045,0.5524981083160005,0.4527628326050994,-0.6221708176006415
M1plusM2plusRWTS_indices_logistic,2,179,2024-07-14__LNG__TES__G2,2024-07-14,0,0.5293782640879926,0.11630310484661614,-0.5448920225730495,1.345598725225115
M1plusM2plusRWTS_indices_logistic,2,180,2024-07-14__TT__UP__G1,2024-07-14,0,-0.5814362093517258,0.35758233467465356,-0.9732809118279979,-2.096712334539683
M1plusM2plusRWTS_indices_logistic,2,181,2024-07-14__TT__UP__G2,2024-07-14,1,-0.6057683086348751,0.25715383912912915,-1.0855936503749,0.43720854882425586
M1plusM2plusRWTS_indices_logistic,2,182,2024-07-15__BLG__LGD__G1,2024-07-15,1,0.5945687749612706,0.6808328497458376,-0.8977130310864645,0.0951167413206193
M1plusM2plusRWTS_indices_logistic,2,183,2024-07-15__BLG__LGD__G2,2024-07-15,0,-0.9795959212124343,-0.3832033437764104,-0.77625513772881,-1.3595386538926078
M1plusM2plusRWTS_indices_logistic,2,184,2024-07-15__OMG__iG__G1,2024-07-15,0,-2.658311972136019,1.03838866631799,0.281897944189679,-2.09316555080096
M1plusM2plusRWTS_indices_logistic,2,185,2024-07-15__OMG__iG__G2,2024-07-15,0,2.0594849980768863,-1.4594129308931947,-1.044250450551538,2.6862751271947274
M1plusM2plusRWTS_indices_logistic,2,186,2024-07-15__OMG__iG__G3,2024-07-15,0,-3.332403558238184,1.2272666265454117,0.13342971511672216,-1.5451323425929762
M1plusM2plusRWTS_indices_logistic,2,187,2024-07-16__EDG__RA__G1,2024-07-16,1,-0.6347938000088322,0.06202269957344708,-1.80637402118312,-0.6985448553118508
M1plusM2plusRWTS_indices_logistic,2,188,2024-07-16__EDG__RA__G2,2024-07-16,1,-0.6519762307454082,-0.002187463153847575,-0.6089813293946366,-1.0691047275387615
M1plusM2plusRWTS_indices_logistic,2,189,2024-07-16__EDG__RA__G3,2024-07-16,1,-0.20435794771621724,-0.076740194520628,-1.0206800027442544,0.3551015122049716
M1plusM2plusRWTS_indices_logistic,2,190,2024-07-16__FPX__NIP__G1,2024-07-16,0,-0.9743517157885877,0.48248312134003996,-1.0702651496398436,0.19107015067299346
M1plusM2plusRWTS_indices_logistic,2,191,2024-07-16__FPX__NIP__G2,2024-07-16,0,0.1274218649877668,1.2135166476924828,-0.7832504310555954,0.02006815544385687
M1plusM2plusRWTS_indices_logistic,2,192,2024-07-16__FPX__NIP__G3,2024-07-16,1,-0.3829673857420639,1.073641133200071,-0.9413029072069975,0.21202762782102702
M1plusM2plusRWTS_indices_logistic,2,193,2024-07-17__TES__WBG__G1,2024-07-17,1,1.345935871403662,0.29580830586793855,-0.44926265213386457,1.6473719268139126
M1plusM2plusRWTS_indices_logistic,2,194,2024-07-17__TES__WBG__G2,2024-07-17,0,-1.1998982803897102,0.8432698419256505,-0.7297437463998543,-2.106989017165002
M1plusM2plusRWTS_indices_logistic,2,195,2024-07-17__TT__WE__G1,2024-07-17,0,1.6085714622346365,-0.015934040791146714,0.009401716802528215,2.5386593449099455
M1plusM2plusRWTS_indices_logistic,2,196,2024-07-17__TT__WE__G2,2024-07-17,1,-2.124376340569689,0.07504684669925538,-0.019918510739593387,-2.0101753545013747
