Player,Role,Team,Opponent Team,Opponent Player,Group,Date,Patch,No Game,Side,Time,Champion,Outcome,Level,Kills,Deaths,Assists,CS in Team's Jungle,CSM,GPM,GOLD%,VSPM,WPM,VWPM,WCPM,VS%,DPM,DMG%,KP%,GD@15,Total damage taken,First blood participate,MVP,KP%@15,Frist tower,Tower@15,Total tower,First Dragon,Number of dragon,Number of uti dragon,Number of VB,Herald,First baron,Number of baron,mini team fight,mini team fight win,mini team fight tie,team fight,team fight win,team fight tie,Team jg share
Qingtian,TOP,UP,IG,Zuian,\,01.06.2024,v14.10,1,Blue,0:28:43,Ornn,Loss,14,1,5,1,0,5.8,292,17.80%,0.74,0.24,0.1,0.14,10.20%,232,19.10%,40.00%,-638,26656.1,0,0,0.333,0,1,3,0,0,0,4,0,0,0,1,0,0,3,0,1,47.3
H4cker,JUNGLE,UP,IG,glfs,\,01.06.2024,v14.10,1,Blue,0:28:43,Lillia,Loss,14,2,4,2,173,7,338,20.60%,1.08,0.21,0.14,0.24,14.80%,273,22.50%,80.00%,-765,30616.7,0,0,0.666,0,1,3,0,0,0,4,0,0,0,1,0,0,3,0,1,47.3
Yuekai,MID,UP,IG,neny,\,01.06.2024,v14.10,1,Blue,0:28:43,Tristana,Loss,15,2,1,1,16,9.7,443,27.10%,1.16,0.31,0.07,0.14,15.90%,356,29.30%,60.00%,1373,18141.6,0,0,0.666,0,1,3,0,0,0,4,0,0,0,1,0,0,3,0,1,47.3
Doggo,ADCARRY,UP,IG,Ahn,\,01.06.2024,v14.10,1,Blue,0:28:43,Jhin,Loss,14,0,0,4,2,8.7,351,21.40%,1.27,0.73,0.14,0.35,17.50%,254,20.80%,80.00%,-1029,8474.71,0,0,0.666,0,1,3,0,0,0,4,0,0,0,1,0,0,3,0,1,47.3
Niket,SUPPORT,UP,IG,Vampire,\,01.06.2024,v14.10,1,Blue,0:28:43,Leona,Loss,10,0,3,4,0,1.4,215,13.10%,3.03,1.88,0.56,0.42,41.60%,102,8.40%,80.00%,-303,12707.8,0,0,0.66,0,1,3,0,0,0,4,0,0,0,1,0,0,3,0,1,47.3
Zuian,TOP,IG,UP,Qingtian,\,01.06.2024,v14.10,1,Red,0:28:43,Skarner,Win,16,5,1,4,4,7.5,432,22.00%,1.4,0.52,0.31,0.17,14.00%,491,21.50%,69.20%,638,16125.7,1,1,0.5,1,0,9,1,4,0,2,1,1,1,1,1,0,3,2,1,52.7
glfs,JUNGLE,IG,UP,H4cker,\,01.06.2024,v14.10,1,Red,0:28:43,Nidalee,Win,15,4,1,7,199,7.6,408,20.80%,1.79,0.31,0.24,0.52,17.80%,310,13.50%,84.60%,765,24401.7,1,0,0.666,1,0,9,1,4,0,2,1,1,1,1,1,0,3,2,1,52.7
neny,MID,IG,UP,Yuekai,\,01.06.2024,v14.10,1,Red,0:28:43,Aurelion_Sol,Win,16,1,1,5,6,9,396,20.20%,1.19,0.31,0.21,0.31,11.90%,478,20.90%,46.20%,-1373,11906,0,0,0.167,1,0,9,1,4,0,2,1,1,1,1,1,0,3,2,1,52.7
Ahn,ADCARRY,IG,UP,Doggo,\,01.06.2024,v14.10,1,Red,0:28:43,Varus,Win,15,2,0,5,4,10.2,468,23.90%,2.16,0.56,0.21,0.84,21.60%,871,38.10%,53.80%,1029,6998.18,0,0,0.5,1,0,9,1,4,0,2,1,1,1,1,1,0,3,2,1,52.7
Vampire,SUPPORT,IG,UP,Niket,\,01.06.2024,v14.10,1,Red,0:28:43,Nautilus,Win,11,1,2,6,0,1.3,256,13.10%,3.48,1.71,0.49,0.56,34.70%,138,6.00%,53.80%,303,6896.66,0,0,0.5,1,0,9,1,4,0,2,1,1,1,1,1,0,3,2,1,52.7
Zuian,TOP,IG,UP,Qingtian,\,01.06.2024,v14.10,2,Blue,0:37:39,Renekton,Win,17,0,5,2,10,7.6,337,18.80%,1.5,0.42,0.32,0.35,16.10%,350,15.00%,22.00%,33,40712.4,0,0,0.333,1,2,5,0,3,0,6,1,0,0,0,0,0,3,0,0,48.3
glfs,JUNGLE,IG,UP,H4cker,\,01.06.2024,v14.10,2,Blue,0:37:39,Taliyah,Win,16,2,5,4,251,7.2,365,20.30%,1.23,0.29,0.29,0.24,13.20%,396,17.00%,67.00%,-5,26215.9,1,0,0.66,1,2,5,0,3,0,6,1,0,0,0,0,0,3,0,0,48.3
neny,MID,IG,UP,Yuekai,\,01.06.2024,v14.10,2,Blue,0:37:39,Corki,Win,18,4,4,2,17,9.2,425,23.70%,1.23,0.35,0.32,0.24,13.20%,636,27.30%,67.00%,1139,24250,1,0,0.33,1,2,5,0,3,0,6,1,0,0,0,0,0,3,0,0,48.3
Ahn,ADCARRY,IG,UP,Doggo,\,01.06.2024,v14.10,2,Blue,0:37:39,Ziggs,Win,18,2,1,3,2,10.2,422,23.50%,1.08,0.5,0.13,0.29,11.60%,827,35.40%,56.00%,1053,15682.8,0,0,0.33,1,2,5,0,3,0,6,1,0,0,0,0,0,3,0,0,48.3
Vampire,SUPPORT,IG,UP,Niket,\,01.06.2024,v14.10,2,Blue,0:37:39,Leona,Win,12,1,2,6,0,1.2,246,13.70%,4.25,2.12,0.72,0.64,45.80%,124,5.30%,78.00%,1032,14910.9,0,0,0.666,1,2,5,0,3,0,6,1,0,0,0,0,0,3,0,0,48.3
Qingtian,TOP,UP,IG,Zuian,\,01.06.2024,v14.10,2,Red,0:37:39,KSante,Loss,18,2,2,8,0,6.6,366,18.00%,1.01,0.29,0.16,0.24,11.10%,398,15.40%,59.00%,-33,40631.7,0,0,1,0,0,10,1,3,0,0,0,1,3,0,0,0,3,3,0,51.7
H4cker,JUNGLE,UP,IG,glfs,\,01.06.2024,v14.10,2,Red,0:37:39,Karthus,Loss,18,7,3,6,255,8.2,429,21.20%,1.19,0.29,0.19,0.29,13.10%,747,28.80%,77.00%,5,33525.7,0,0,1,0,0,10,1,3,0,0,0,1,3,0,0,0,3,3,0,51.7
Yuekai,MID,UP,IG,neny,\,01.06.2024,v14.10,2,Red,0:37:39,Yone,Loss,18,5,1,9,40,9.9,527,26.00%,0.96,0.27,0.13,0.19,10.60%,761,29.40%,82.00%,-1139,30379.3,0,1,0,0,0,10,1,3,0,0,0,1,3,0,0,0,3,3,0,51.7
Doggo,ADCARRY,UP,IG,Ahn,\,01.06.2024,v14.10,2,Red,0:37:39,Varus,Loss,18,3,1,3,5,9.6,451,22.30%,1.66,0.58,0.24,0.45,18.30%,523,20.20%,35.00%,-1053,10485.9,0,0,0,0,0,10,1,3,0,0,0,1,3,0,0,0,3,3,0,51.7
Niket,SUPPORT,UP,IG,Vampire,\,01.06.2024,v14.10,2,Red,0:37:39,Rell,Loss,15,0,2,12,0,1.4,254,12.50%,4.25,2.36,0.64,0.61,46.80%,161,6.20%,71.00%,-1032,14729.2,0,0,0.5,0,0,10,1,3,0,0,0,1,3,0,0,0,3,3,0,51.7
Qingtian,TOP,UP,IG,Zuian,\,01.06.2024,v14.10,3,Blue,0:35:53,Twisted_Fate,Win,17,4,3,4,18,6.2,434,21.10%,1.47,0.45,0.17,0.14,13.20%,287,11.90%,34.80%,110,20541.7,1,0,0.5,1,2,11,1,1,1,6,1,1,2,1,0,0,5,4,0,49.4
H4cker,JUNGLE,UP,IG,glfs,\,01.06.2024,v14.10,3,Blue,0:35:53,Sejuani,Win,17,1,2,19,184,6.3,368,17.90%,1.74,0.39,0.33,0.45,15.50%,369,15.40%,87.00%,-592,36814.7,1,0,0.5,1,2,11,1,1,1,6,1,1,2,1,0,0,5,4,0,49.4
Yuekai,MID,UP,IG,neny,\,01.06.2024,v14.10,3,Blue,0:35:53,LeBlanc,Win,17,7,1,14,4,5.8,428,20.80%,1.85,0.95,0.36,0.28,16.50%,826,34.40%,91.30%,819,21581.1,1,0,0.5,1,2,11,1,1,1,6,1,1,2,1,0,0,5,4,0,49.4
Doggo,ADCARRY,UP,IG,Ahn,\,01.06.2024,v14.10,3,Blue,0:35:53,Kalista,Win,18,7,1,10,16,9.5,515,25.10%,2.58,1.09,0.25,0.53,23.00%,701,29.20%,73.90%,734,17850.3,1,0,1,1,2,11,1,1,1,6,1,1,2,1,0,0,5,4,0,49.4
Niket,SUPPORT,UP,IG,Vampire,\,01.06.2024,v14.10,3,Blue,0:35:53,Blitzcrank,Win,15,4,4,16,0,1,307,15.00%,3.57,2.17,0.59,0.42,31.90%,220,9.10%,87.00%,525,22091.9,1,1,1,1,2,11,1,1,1,6,1,1,2,1,0,0,5,4,0,49.4
Zuian,TOP,IG,UP,Qingtian,\,01.06.2024,v14.10,3,Red,0:35:53,Jax,Loss,16,3,4,4,4,6.5,342,20.50%,1.51,0.42,0.17,0.33,16.40%,431,18.40%,63.60%,-110,33083.1,0,0,1,0,1,3,0,4,0,0,0,0,0,1,1,0,5,1,0,50.6
glfs,JUNGLE,IG,UP,H4cker,\,01.06.2024,v14.10,3,Red,0:35:53,Kindred,Loss,16,3,4,4,211,8.1,364,21.80%,2.1,0.28,0.2,0.98,22.90%,438,18.70%,63.60%,592,23869.6,0,0,1,0,1,3,0,4,0,0,0,0,0,1,1,0,5,1,0,50.6
neny,MID,IG,UP,Yuekai,\,01.06.2024,v14.10,3,Red,0:35:53,Annie,Loss,16,3,6,5,1,6.5,331,19.80%,1.05,0.28,0.25,0.2,11.40%,643,27.40%,72.70%,-819,19236.8,0,0,1,0,1,3,0,4,0,0,0,0,0,1,1,0,5,1,0,50.6
Ahn,ADCARRY,IG,UP,Doggo,\,01.06.2024,v14.10,3,Red,0:35:53,Lucian,Loss,15,2,5,5,11,9.4,407,24.40%,1.33,0.5,0.14,0.67,14.50%,635,27.10%,63.60%,-734,24158.3,0,0,1,0,1,3,0,4,0,0,0,0,0,1,1,0,5,1,0,50.6
Vampire,SUPPORT,IG,UP,Niket,\,01.06.2024,v14.10,3,Red,0:35:53,Nami,Loss,13,0,4,8,0,0.9,226,13.50%,3.21,1.84,0.56,0.31,34.90%,198,8.40%,72.70%,-525,13203,0,0,1,0,1,3,0,4,0,0,0,0,0,1,1,0,5,1,0,50.6
Breathe,TOP,WBG,NIP,Shanji,\,01.06.2024,v14.10,1,Blue,0:38:27,Skarner,Win,17,1,6,10,1,5,318,15.90%,0.97,0.39,0.21,0.13,12.30%,402,15.70%,68.80%,-843,33346.1,0,1,/,1,2,9,0,0,0,4,0,0,1,1,0,0,5,2,1,44.6
Tarzan,JUNGLE,WBG,NIP,Aki,\,01.06.2024,v14.10,1,Blue,0:38:27,Nidalee,Win,18,1,2,9,217,6.9,381,19.10%,1.86,0.42,0.23,0.6,23.50%,584,22.80%,62.50%,-44,36852.9,0,0,/,1,2,9,0,0,0,4,0,0,1,1,0,0,5,2,1,44.6
Xiaohu,MID,WBG,NIP,Rookie,\,01.06.2024,v14.10,1,Blue,0:38:27,Ahri,Win,18,5,2,7,5,9.7,502,25.20%,1.82,0.75,0.13,0.39,22.90%,555,21.70%,75.00%,-218,21075.7,0,0,/,1,2,9,0,0,0,4,0,0,1,1,0,0,5,2,1,44.6
Light,ADCARRY,WBG,NIP,Photic,\,01.06.2024,v14.10,1,Blue,0:38:27,Aphelios,Win,18,9,2,3,8,9.4,541,27.10%,0.61,0.26,0,0.21,7.70%,895,35.00%,75.00%,1873,13903.7,0,0,/,1,2,9,0,0,0,4,0,0,1,1,0,0,5,2,1,44.6
Crisp,SUPPORT,WBG,NIP,Zhuo,\,01.06.2024,v14.10,1,Blue,0:38:27,Nautilus,Win,15,0,5,12,0,1.1,251,12.60%,2.65,1.72,0.57,0.16,33.50%,124,4.80%,75.00%,-1478,22653.5,0,0,/,1,2,9,0,0,0,4,0,0,1,1,0,0,5,2,1,44.6
Shanji,TOP,NIP,WBG,Breathe,\,01.06.2024,v14.10,1,Red,0:38:27,Twisted_Fate,Loss,18,5,3,5,30,7.6,441,23.60%,0.98,0.47,0.18,0.18,10.90%,483,20.70%,58.80%,843,21589.2,0,0,0,0,1,11,1,4,1,2,1,1,2,1,1,0,5,2,1,55.4
Aki,JUNGLE,NIP,WBG,Tarzan,\,01.06.2024,v14.10,1,Red,0:38:27,Viego,Loss,17,2,2,10,229,7.1,363,19.40%,1.61,0.23,0.21,0.42,18.00%,325,13.90%,70.60%,44,37254.7,1,0,1,0,1,11,1,4,1,2,1,1,2,1,1,0,5,2,1,55.4
Rookie,MID,NIP,WBG,Xiaohu,\,01.06.2024,v14.10,1,Red,0:38:27,Taliyah,Loss,18,7,3,7,16,7.9,402,21.50%,1.16,0.47,0.26,0.21,12.90%,737,31.60%,82.40%,218,17648.5,1,0,0.666,0,1,11,1,4,1,2,1,1,2,1,1,0,5,2,1,55.4
Photic,ADCARRY,NIP,WBG,Light,\,01.06.2024,v14.10,1,Red,0:38:27,Senna,Loss,14,1,5,15,12,2,322,17.30%,3.85,1.61,0.31,0.57,43.10%,477,20.40%,94.10%,-1873,20601.3,1,0,1,0,1,11,1,4,1,2,1,1,2,1,1,0,5,2,1,55.4
Zhuo,SUPPORT,NIP,WBG,Crisp,\,01.06.2024,v14.10,1,Red,0:38:27,Ornn,Loss,16,2,3,12,0,5.2,340,18.20%,1.33,0.62,0.29,0.23,15.00%,313,13.40%,82.40%,1478,36161.3,1,0,1,0,1,11,1,4,1,2,1,1,2,1,1,0,5,2,1,55.4
Shanji,TOP,NIP,WBG,Breathe,\,01.06.2024,v14.10,2,Blue,0:33:46,KSante,Win,17,0,0,6,4,7.3,376,20.10%,0.72,0.3,0.15,0.12,6.40%,236,17.40%,75.00%,381,17875.6,1,0,1,0,1,9,1,4,1,0,1,1,1,0,0,0,1,1,0,50
Aki,JUNGLE,NIP,WBG,Tarzan,\,01.06.2024,v14.10,2,Blue,0:33:46,Wukong,Win,16,2,3,1,212,6.8,352,18.80%,1.29,0.3,0.3,0.3,11.50%,184,13.60%,37.50%,310,30076.1,1,0,0.5,0,1,9,1,4,1,0,1,1,1,0,0,0,1,1,0,50
Rookie,MID,NIP,WBG,Xiaohu,\,01.06.2024,v14.10,2,Blue,0:33:46,Orianna,Win,18,4,1,3,8,8.5,418,22.30%,1.4,0.44,0.24,0.47,12.50%,395,29.10%,87.50%,-167,9357.08,0,1,0.5,0,1,9,1,4,1,0,1,1,1,0,0,0,1,1,0,50
Photic,ADCARRY,NIP,WBG,Light,\,01.06.2024,v14.10,2,Blue,0:33:46,Kalista,Win,17,2,0,4,0,10.1,463,24.70%,1.84,0.56,0.21,0.47,16.40%,327,24.00%,75.00%,-712,7367.47,1,0,1,0,1,9,1,4,1,0,1,1,1,0,0,0,1,1,0,50
Zhuo,SUPPORT,NIP,WBG,Crisp,\,01.06.2024,v14.10,2,Blue,0:33:46,Ashe,Win,13,0,3,6,0,1.5,263,14.00%,5.99,2.96,0.47,0.89,53.30%,215,15.80%,75.00%,270,11831.1,1,0,1,0,1,9,1,4,1,0,1,1,1,0,0,0,1,1,0,50
Breathe,TOP,WBG,NIP,Shanji,\,01.06.2024,v14.10,2,Red,0:33:46,Jax,Loss,16,1,3,2,12,8.1,347,19.40%,1.23,0.5,0.15,0.33,14.40%,154,10.30%,42.90%,-381,16200.6,0,0,0,1,1,4,0,0,0,4,0,0,0,0,0,0,1,0,0,50
Tarzan,JUNGLE,WBG,NIP,Aki,\,01.06.2024,v14.10,2,Red,0:33:46,RekSai,Loss,15,1,2,3,199,6.5,318,17.70%,1.41,0.3,0.27,0.36,16.40%,172,11.60%,57.10%,-310,30684.9,0,0,1,1,1,4,0,0,0,4,0,0,0,0,0,0,1,0,0,50
Xiaohu,MID,WBG,NIP,Rookie,\,01.06.2024,v14.10,2,Red,0:33:46,LeBlanc,Loss,17,2,2,1,13,9.2,446,24.90%,1.45,0.62,0.3,0.27,16.90%,373,25.10%,42.90%,167,12671.4,0,0,0,1,1,4,0,0,0,4,0,0,0,0,0,0,1,0,0,50
Light,ADCARRY,WBG,NIP,Photic,\,01.06.2024,v14.10,2,Red,0:33:46,Varus,Loss,16,2,0,2,0,9.9,454,25.40%,1.17,0.36,0.12,0.41,13.70%,694,46.60%,57.10%,712,4685.5,0,0,0,1,1,4,0,0,0,4,0,0,0,0,0,0,1,0,0,50
Crisp,SUPPORT,WBG,NIP,Zhuo,\,01.06.2024,v14.10,2,Red,0:33:46,Leona,Loss,11,1,1,2,0,1.4,226,12.60%,3.32,2.04,0.62,0.5,38.70%,96,6.50%,42.90%,-270,12351.9,0,0,1,1,1,4,0,0,0,4,0,0,0,0,0,0,1,0,0,50
Breathe,TOP,WBG,NIP,Shanji,\,01.06.2024,v14.10,3,Blue,0:33:31,Rumble,Loss,16,3,1,0,6,8.4,370,23.20%,1.15,0.48,0.24,0.15,12.80%,585,31.70%,37.50%,481,18365,0,0,0,0,0,2,0,1,0,6,1,0,0,0,0,0,2,1,0,50.1
Tarzan,JUNGLE,WBG,NIP,Aki,\,01.06.2024,v14.10,3,Blue,0:33:31,Lee_Sin,Loss,14,1,3,5,171,5.5,298,18.70%,1.93,0.84,0.54,0.36,21.40%,275,14.90%,75.00%,721,35807.8,0,0,1,0,0,2,0,1,0,6,1,0,0,0,0,0,2,1,0,50.1
Xiaohu,MID,WBG,NIP,Rookie,\,01.06.2024,v14.10,3,Blue,0:33:31,Hwei,Loss,15,1,2,3,0,6.7,308,19.30%,1.5,0.57,0.27,0.42,16.60%,401,21.70%,50.00%,-607,12654.2,0,0,0.5,0,0,2,0,1,0,6,1,0,0,0,0,0,2,1,0,50.1
Light,ADCARRY,WBG,NIP,Photic,\,01.06.2024,v14.10,3,Blue,0:33:31,Zeri,Loss,16,3,3,2,24,9.8,402,25.20%,1.17,0.3,0,0.42,13.00%,459,24.90%,62.50%,-851,19435.6,0,0,0.5,0,0,2,0,1,0,6,1,0,0,0,0,0,2,1,0,50.1
Crisp,SUPPORT,WBG,NIP,Zhuo,\,01.06.2024,v14.10,3,Blue,0:33:31,Lulu,Loss,12,0,3,6,0,1.1,216,13.50%,3.27,1.67,0.51,0.48,36.20%,127,6.90%,75.00%,-37,11295.2,0,0,0.5,0,0,2,0,1,0,6,1,0,0,0,0,0,2,1,0,50.1
Shanji,TOP,NIP,WBG,Breathe,\,01.06.2024,v14.10,3,Red,0:33:31,Kennen,Win,17,4,2,0,8,8.6,406,22.00%,0.93,0.24,0.15,0.21,9.10%,376,17.40%,33.30%,-481,13111.1,0,0,0,1,0,8,1,4,0,0,0,1,1,0,0,0,2,1,0,49.9
Aki,JUNGLE,NIP,WBG,Tarzan,\,01.06.2024,v14.10,3,Red,0:33:31,Sejuani,Win,15,0,3,7,158,5.5,298,16.20%,1.6,0.27,0.21,0.36,15.80%,227,11.00%,58.30%,-721,46304.3,0,0,0,1,0,8,1,4,0,0,0,1,1,0,0,0,2,1,0,49.9
Rookie,MID,NIP,WBG,Xiaohu,\,01.06.2024,v14.10,3,Red,0:33:31,Corki,Win,18,4,0,3,16,9.6,448,24.30%,1.92,0.6,0.3,0.36,18.90%,690,31.90%,58.30%,607,22655.3,0,1,0.5,1,0,8,1,4,0,0,0,1,1,0,0,0,2,1,0,49.9
Photic,ADCARRY,NIP,WBG,Light,\,01.06.2024,v14.10,3,Red,0:33:31,Lucian,Win,16,4,3,3,18,9.4,442,23.90%,1.73,0.57,0.15,0.63,17.10%,656,30.30%,58.30%,851,18429,1,0,0.5,1,0,8,1,4,0,0,0,1,1,0,0,0,2,1,0,49.9
Zhuo,SUPPORT,NIP,WBG,Crisp,\,01.06.2024,v14.10,3,Red,0:33:31,Nami,Win,13,0,0,10,0,1.4,252,13.60%,3.96,1.7,0.45,0.66,39.10%,216,10.00%,83.30%,37,11074.6,1,0,0.5,1,0,8,1,4,0,0,0,1,1,0,0,0,2,1,0,49.9
Wayward,TOP,WE,RNG,Zdz,\,02.06.2024,v14.10,1,Blue,0:25:54,Skarner,Win,15,3,0,5,0,8.7,410,21.10%,1.06,0.42,0.15,0.15,13.00%,702,31.30%,80.00%,369,13370.7,0,1,0,1,2,9,0,1,0,6,1,1,1,0,0,0,2,2,0,53.3
Heng,JUNGLE,WE,RNG,Wei,\,02.06.2024,v14.10,1,Blue,0:25:54,Maokai,Win,13,1,0,9,152,6.5,361,18.60%,1.77,0.31,0.23,0.39,21.70%,283,12.60%,100.00%,476,21714.8,1,0,1,1,2,9,0,1,0,6,1,1,1,0,0,0,2,2,0,53.3
FoFo,MID,WE,RNG,Tangyuan,\,02.06.2024,v14.10,1,Blue,0:25:54,Tristana,Win,15,3,0,7,20,9.2,470,24.20%,1.53,0.62,0.27,0.35,18.80%,588,26.20%,100.00%,1774,11227,1,0,1,1,2,9,0,1,0,6,1,1,1,0,0,0,2,2,0,53.3
LP,ADCARRY,WE,RNG,huanfeng,\,02.06.2024,v14.10,1,Blue,0:25:54,Lucian,Win,13,3,1,3,0,9,434,22.30%,1.23,0.46,0.19,0.62,15.10%,491,21.90%,60.00%,-283,11867.3,0,0,0,1,2,9,0,1,0,6,1,1,1,0,0,0,2,2,0,53.3
Mark,SUPPORT,WE,RNG,Ming,\,02.06.2024,v14.10,1,Blue,0:25:54,Nami,Win,11,0,0,10,0,1,267,13.70%,2.56,1.47,0.35,0.15,31.40%,179,8.00%,100.00%,616,2045.36,1,0,1,1,2,9,0,1,0,6,1,1,1,0,0,0,2,2,0,53.3
Zdz,TOP,RNG,WE,Wayward,\,02.06.2024,v14.10,1,Red,0:25:54,KSante,Loss,13,0,3,0,4,7.3,283,19.60%,0.8,0.35,0.19,0.08,9.70%,310,21.90%,0.00%,-369,26773.8,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,46.7
Wei,JUNGLE,RNG,WE,Heng,\,02.06.2024,v14.10,1,Red,0:25:54,Diana,Loss,12,0,2,1,139,6.2,294,20.40%,1.4,0.35,0.27,0.31,17.00%,195,13.80%,100.00%,-476,18294.1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,46.7
Tangyuan,MID,RNG,WE,FoFo,\,02.06.2024,v14.10,1,Red,0:25:54,Jayce,Loss,14,0,2,0,8,8.8,327,22.60%,1.29,0.27,0.15,0.31,15.70%,349,24.70%,0.00%,-1774,9396.25,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,46.7
huanfeng,ADCARRY,RNG,WE,LP,\,02.06.2024,v14.10,1,Red,0:25:54,Varus,Loss,13,1,1,0,0,9,340,23.60%,1.98,0.93,0.12,0.39,24.10%,485,34.30%,100.00%,283,9206.36,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,46.7
Ming,SUPPORT,RNG,WE,Mark,\,02.06.2024,v14.10,1,Red,0:25:54,Nautilus,Loss,10,0,2,1,0,1.3,199,13.80%,2.76,1.51,0.5,0.19,33.50%,76,5.40%,100.00%,-616,10281.8,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,46.7
Zdz,TOP,RNG,WE,Wayward,\,02.06.2024,v14.10,2,Blue,0:39:53,Renekton,Loss,18,0,3,1,9,8.9,374,21.00%,1.24,0.4,0.33,0.35,12.80%,186,11.30%,16.70%,383,37668.7,0,0,0,1,1,6,0,2,0,3,0,1,2,1,1,0,3,0,1,53.7
Wei,JUNGLE,RNG,WE,Heng,\,02.06.2024,v14.10,2,Blue,0:39:53,Karthus,Loss,18,1,2,3,276,7.7,336,18.90%,1.21,0.45,0.38,0.25,12.50%,531,32.20%,66.70%,568,37195.1,0,0,0.667,1,1,6,0,2,0,3,0,1,2,1,1,0,3,0,1,53.7
Tangyuan,MID,RNG,WE,FoFo,\,02.06.2024,v14.10,2,Blue,0:39:53,Tristana,Loss,18,2,2,2,33,9.5,448,25.20%,2.24,0.4,0.2,0.83,23.00%,374,22.70%,66.70%,574,17604.4,0,0,0.333,1,1,6,0,2,0,3,0,1,2,1,1,0,3,0,1,53.7
huanfeng,ADCARRY,RNG,WE,LP,\,02.06.2024,v14.10,2,Blue,0:39:53,Ashe,Loss,17,3,3,2,0,9.2,395,22.20%,1.52,0.38,0.23,0.45,15.60%,419,25.40%,83.30%,1757,21278.8,1,0,1,1,1,6,0,2,0,3,0,1,2,1,1,0,3,0,1,53.7
Ming,SUPPORT,RNG,WE,Mark,\,02.06.2024,v14.10,2,Blue,0:39:53,Alistar,Loss,14,0,3,5,0,1.1,226,12.70%,3.5,1.98,0.65,0.35,36.10%,140,8.50%,83.30%,425,22740.5,1,0,1,1,1,6,0,2,0,3,0,1,2,1,1,0,3,0,1,53.7
Wayward,TOP,WE,RNG,Zdz,\,02.06.2024,v14.10,2,Red,0:39:53,Jax,Win,18,1,1,3,8,10.1,401,22.00%,1.02,0.55,0.23,0.2,9.90%,422,18.40%,30.80%,-383,31039.3,0,0,\,0,0,8,1,4,0,3,1,0,2,0,1,0,3,2,1,46.3
Heng,JUNGLE,WE,RNG,Wei,\,02.06.2024,v14.10,2,Red,0:39:53,Nidalee,Win,18,6,2,2,252,7.2,384,21.10%,2.28,0.3,0.23,0.8,22.10%,505,22.00%,61.50%,-568,38453.1,0,0,\,0,0,8,1,4,0,3,1,0,2,0,1,0,3,2,1,46.3
FoFo,MID,WE,RNG,Tangyuan,\,02.06.2024,v14.10,2,Red,0:39:53,Hwei,Win,18,6,1,5,10,8.1,412,22.60%,1.18,0.55,0.23,0.2,11.40%,838,36.60%,84.60%,-574,10831.2,0,1,\,0,0,8,1,4,0,3,1,0,2,0,1,0,3,2,1,46.3
LP,ADCARRY,WE,RNG,huanfeng,\,02.06.2024,v14.10,2,Red,0:39:53,Kalista,Win,17,0,2,6,4,8.6,395,21.70%,1.83,1.03,0.15,0.35,17.90%,445,19.40%,46.20%,-1757,13314.6,0,0,\,0,0,8,1,4,0,3,1,0,2,0,1,0,3,2,1,46.3
Mark,SUPPORT,WE,RNG,Ming,\,02.06.2024,v14.10,2,Red,0:39:53,Blitzcrank,Win,15,0,0,7,0,1.2,231,12.70%,3.97,2.08,0.53,0.38,38.60%,82,3.60%,53.80%,-425,12089.9,0,0,\,0,0,8,1,4,0,3,1,0,2,0,1,0,3,2,1,46.3
Xiaoxu,TOP,RA,TES,369,\,02.06.2024,v14.10,1,Blue,0:29:02,Skarner,Loss,15,0,5,7,6,7,300,18.80%,0.68,0.38,0.17,0.07,9.70%,506,20.30%,70.00%,-1121,30805,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,40.7
Xiaohao,JUNGLE,RA,TES,Tian,\,02.06.2024,v14.10,1,Blue,0:29:02,Lillia,Loss,14,1,5,5,140,6.3,310,19.40%,1.93,0.83,0.28,0.41,27.60%,499,20.00%,60.00%,-356,29469,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,40.7
Vicla,MID,RA,TES,Creme,\,02.06.2024,v14.10,1,Blue,0:29:02,Tristana,Loss,15,3,7,3,5,8.3,364,22.80%,1.04,0.41,0.14,0.31,14.80%,491,19.70%,60.00%,-592,22641,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,40.7
Assum,ADCARRY,RA,TES,JackeyLove,\,02.06.2024,v14.10,1,Blue,0:29:02,KogMaw,Loss,15,6,3,1,2,9.2,416,26.10%,0.76,0.31,0.1,0.21,10.80%,888,35.60%,70.00%,357,15396,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,40.7
Jwei,SUPPORT,RA,TES,meiko,\,02.06.2024,v14.10,1,Blue,0:29:02,Rell,Loss,12,0,5,6,0,1.2,205,12.90%,2.6,1.79,0.59,0.17,37.10%,108,4.40%,60.00%,-2809,20921,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,40.7
